"Title: Average Annual Single Premium per Enrolled Employee For Employer-Based Health Insurance | The Henry J. Kaiser Family Foundation"
"Timeframe: 2013 - 2018"
"Location","2013__Employee Contribution","2013__Employer Contribution","2013__Total Annual Premium","2014__Employee Contribution","2014__Employer Contribution","2014__Total Annual Premium","2015__Employee Contribution","2015__Employer Contribution","2015__Total Annual Premium","2016__Employee Contribution","2016__Employer Contribution","2016__Total Annual Premium","2017__Employee Contribution","2017__Employer Contribution","2017__Total Annual Premium","2018__Employee Contribution","2018__Employer Contribution","2018__Total Annual Premium"
"Rhode Island","1401","4567","5968","1459","4697","6156","1499","5010","6509","1614","5051","6665","1707","5341","7048","1807","5211","7018"
"South Carolina","1137","4289","5426","1332","4518","5850","1220","4660","5880","1361","4436","5797","1339","4740","6079","1427","5281","6708"
"South Dakota","1347","4529","5876","1213","4646","5859","1380","4436","5816","1200","4681","5881","1442","5091","6533","1541","5390","6931"
"Tennessee","1167","3979","5146","1409","3901","5310","1300","4029","5329","1230","4313","5543","1431","4575","6006","1410","4561","5971"
"Texas","1135","4251","5386","1211","4529","5740","1273","4574","5847","1197","4672","5869","1355","4847","6202","1413","5176","6589"
"Utah","1089","4220","5309","1297","4241","5538","1200","4596","5796","1162","4955","6117","1094","4474","5568","1183","4942","6125"
"Vermont","1170","4594","5764","1281","4899","6180","1361","4500","5861","1395","4943","6338","1483","5068","6551","1456","5463","6919"
"Virginia","1244","4164","5408","1296","4126","5422","1354","4624","5978","1487","4693","6180","1625","4674","6299","1746","4889","6635"
"Washington","680","5010","5690","937","4973","5910","739","5314","6053","984","5449","6433","903","5592","6495","955","5691","6646"
"West Virginia","1052","4888","5940","1297","4852","6149","1199","4882","6081","1208","5132","6340","1357","5217","6574","1353","5545","6898"
"Wisconsin","1220","4510","5730","1257","4611","5868","1345","4666","6011","1401","4985","6386","1463","4974","6437","1596","5220","6816"
"Wyoming","1059","5242","6301","1139","4701","5840","1187","5233","6420","1195","5314","6509","1155","6102","7257","1385","5394","6779"

"Notes"
"The Medical Expenditure Panel Survey (MEPS) Insurance Component is an annual survey of establishments that collects information about employer-sponsored health insurance offerings in the United States."
""
"Figures may not sum to totals due to rounding."

"Sources"
"Agency for Healthcare Research and Quality, Center for Financing, Access and Cost Trends. Medical Expenditure Panel Survey (MEPS)- Insurance Component, 2013-2018; Tables II.C.1, II.C.2, II.C.3 available at: [Medical Expenditure Panel Survey (MEPS)](https://meps.ahrq.gov/mepsweb/data_stats/quick_tables_results.jsp?component=2&subcomponent=2&year=2018&tableSeries=-1&tableSubSeries=CDE&searchText=&searchMethod=1&Action=Search). "
""
"Definitions and descriptions of the methods used for this survey can be found in the [Technical Appendix](http://meps.ahrq.gov/mepsweb/survey_comp/ic_technical_notes.shtml)."


