"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","EMP","TOT","PC_WKGPOP","A","2018",75.9,
"GRC","EMP","TOT","PC_WKGPOP","A","2010",59.1,
"GRC","EMP","TOT","PC_WKGPOP","A","2011",55.1,
"GRC","EMP","TOT","PC_WKGPOP","A","2012",50.8,
"GRC","EMP","TOT","PC_WKGPOP","A","2013",48.8,
"GRC","EMP","TOT","PC_WKGPOP","A","2014",49.425,
"GRC","EMP","TOT","PC_WKGPOP","A","2015",50.8,
"GRC","EMP","TOT","PC_WKGPOP","A","2016",52.025,
"GRC","EMP","TOT","PC_WKGPOP","A","2017",53.5,
"GRC","EMP","TOT","PC_WKGPOP","A","2018",54.9,
"HUN","EMP","TOT","PC_WKGPOP","A","2010",54.95,
"HUN","EMP","TOT","PC_WKGPOP","A","2011",55.425,
"HUN","EMP","TOT","PC_WKGPOP","A","2012",56.675,
"HUN","EMP","TOT","PC_WKGPOP","A","2013",58.075,
"HUN","EMP","TOT","PC_WKGPOP","A","2014",61.775,
"HUN","EMP","TOT","PC_WKGPOP","A","2015",63.95,
"HUN","EMP","TOT","PC_WKGPOP","A","2016",66.525,
"HUN","EMP","TOT","PC_WKGPOP","A","2017",68.175,
"HUN","EMP","TOT","PC_WKGPOP","A","2018",69.25,
"ISL","EMP","TOT","PC_WKGPOP","A","2010",78.175,
"ISL","EMP","TOT","PC_WKGPOP","A","2011",78.475,
"ISL","EMP","TOT","PC_WKGPOP","A","2012",79.675,
"ISL","EMP","TOT","PC_WKGPOP","A","2013",81.1,
"ISL","EMP","TOT","PC_WKGPOP","A","2014",82.95,
"ISL","EMP","TOT","PC_WKGPOP","A","2015",84.725,
"ISL","EMP","TOT","PC_WKGPOP","A","2016",86.525,
"ISL","EMP","TOT","PC_WKGPOP","A","2017",86.1,
"ISL","EMP","TOT","PC_WKGPOP","A","2018",85.075,
"IRL","EMP","TOT","PC_WKGPOP","A","2010",61,
"IRL","EMP","TOT","PC_WKGPOP","A","2011",60.025,
"IRL","EMP","TOT","PC_WKGPOP","A","2012",59.9,
"IRL","EMP","TOT","PC_WKGPOP","A","2013",61.725,
"IRL","EMP","TOT","PC_WKGPOP","A","2014",63.15,
"IRL","EMP","TOT","PC_WKGPOP","A","2015",64.775,
"IRL","EMP","TOT","PC_WKGPOP","A","2016",66.425,
"IRL","EMP","TOT","PC_WKGPOP","A","2017",67.65,"B"
"IRL","EMP","TOT","PC_WKGPOP","A","2018",68.65,
"ITA","EMP","TOT","PC_WKGPOP","A","2010",56.75,
"ITA","EMP","TOT","PC_WKGPOP","A","2011",56.8,
"ITA","EMP","TOT","PC_WKGPOP","A","2012",56.625,
"ITA","EMP","TOT","PC_WKGPOP","A","2013",55.525,
"ITA","EMP","TOT","PC_WKGPOP","A","2014",55.7,
"ITA","EMP","TOT","PC_WKGPOP","A","2015",56.275,
"ITA","EMP","TOT","PC_WKGPOP","A","2016",57.25,
"ITA","EMP","TOT","PC_WKGPOP","A","2017",57.975,
"ITA","EMP","TOT","PC_WKGPOP","A","2018",58.525,
"JPN","EMP","TOT","PC_WKGPOP","A","2010",70.28754,
"JPN","EMP","TOT","PC_WKGPOP","A","2011",70.82615,"B"
"JPN","EMP","TOT","PC_WKGPOP","A","2012",70.61858,
"JPN","EMP","TOT","PC_WKGPOP","A","2013",71.7585,
"JPN","EMP","TOT","PC_WKGPOP","A","2014",72.7607,
"JPN","EMP","TOT","PC_WKGPOP","A","2015",73.39278,
"JPN","EMP","TOT","PC_WKGPOP","A","2016",74.44646,
"JPN","EMP","TOT","PC_WKGPOP","A","2017",75.32627,
"JPN","EMP","TOT","PC_WKGPOP","A","2018",76.88937,
"KOR","EMP","TOT","PC_WKGPOP","A","2010",63.38788,
"KOR","EMP","TOT","PC_WKGPOP","A","2011",63.91484,
"KOR","EMP","TOT","PC_WKGPOP","A","2012",64.34369,
"KOR","EMP","TOT","PC_WKGPOP","A","2013",64.62727,
"KOR","EMP","TOT","PC_WKGPOP","A","2014",65.56622,
"KOR","EMP","TOT","PC_WKGPOP","A","2015",65.90981,
"KOR","EMP","TOT","PC_WKGPOP","A","2016",66.07566,
"KOR","EMP","TOT","PC_WKGPOP","A","2017",66.62926,
"KOR","EMP","TOT","PC_WKGPOP","A","2018",66.61324,
"LUX","EMP","TOT","PC_WKGPOP","A","2010",65.2,
"LUX","EMP","TOT","PC_WKGPOP","A","2011",64.625,
"LUX","EMP","TOT","PC_WKGPOP","A","2012",65.85,
"LUX","EMP","TOT","PC_WKGPOP","A","2013",65.725,
"LUX","EMP","TOT","PC_WKGPOP","A","2014",66.625,"B"
"LUX","EMP","TOT","PC_WKGPOP","A","2015",66.15,
"LUX","EMP","TOT","PC_WKGPOP","A","2016",65.575,
"LUX","EMP","TOT","PC_WKGPOP","A","2017",66.275,
"LUX","EMP","TOT","PC_WKGPOP","A","2018",67.1,
"MEX","EMP","TOT","PC_WKGPOP","A","2010",59.66136,
"MEX","EMP","TOT","PC_WKGPOP","A","2011",60.02428,
"MEX","EMP","TOT","PC_WKGPOP","A","2012",60.90891,
"MEX","EMP","TOT","PC_WKGPOP","A","2013",60.8422,
"MEX","EMP","TOT","PC_WKGPOP","A","2014",60.40805,
"MEX","EMP","TOT","PC_WKGPOP","A","2015",60.74515,
"MEX","EMP","TOT","PC_WKGPOP","A","2016",61.04717,
"MEX","EMP","TOT","PC_WKGPOP","A","2017",61.12864,
"MEX","EMP","TOT","PC_WKGPOP","A","2018",61.52908,
"NLD","EMP","TOT","PC_WKGPOP","A","2010",73.925,
"NLD","EMP","TOT","PC_WKGPOP","A","2011",74.175,
"NLD","EMP","TOT","PC_WKGPOP","A","2012",74.35,
"NLD","EMP","TOT","PC_WKGPOP","A","2013",73.575,
"NLD","EMP","TOT","PC_WKGPOP","A","2014",73.125,
"NLD","EMP","TOT","PC_WKGPOP","A","2015",74.15,
"NLD","EMP","TOT","PC_WKGPOP","A","2016",74.825,
"NLD","EMP","TOT","PC_WKGPOP","A","2017",75.85,
"NLD","EMP","TOT","PC_WKGPOP","A","2018",77.2,
"NZL","EMP","TOT","PC_WKGPOP","A","2010",72.21104,
"NZL","EMP","TOT","PC_WKGPOP","A","2011",72.52215,
"NZL","EMP","TOT","PC_WKGPOP","A","2012",71.97592,
"NZL","EMP","TOT","PC_WKGPOP","A","2013",72.84322,
"NZL","EMP","TOT","PC_WKGPOP","A","2014",74.23936,
"NZL","EMP","TOT","PC_WKGPOP","A","2015",74.28225,
"NZL","EMP","TOT","PC_WKGPOP","A","2016",75.57175,
"NZL","EMP","TOT","PC_WKGPOP","A","2017",76.87572,
"NZL","EMP","TOT","PC_WKGPOP","A","2018",77.47878,
"NOR","EMP","TOT","PC_WKGPOP","A","2010",75.3,
"NOR","EMP","TOT","PC_WKGPOP","A","2011",75.3,
"NOR","EMP","TOT","PC_WKGPOP","A","2012",75.75,
"NOR","EMP","TOT","PC_WKGPOP","A","2013",75.425,
"NOR","EMP","TOT","PC_WKGPOP","A","2014",75.225,
"NOR","EMP","TOT","PC_WKGPOP","A","2015",74.8,
"NOR","EMP","TOT","PC_WKGPOP","A","2016",74.3,
"NOR","EMP","TOT","PC_WKGPOP","A","2017",74,
"NOR","EMP","TOT","PC_WKGPOP","A","2018",74.8,
"POL","EMP","TOT","PC_WKGPOP","A","2010",58.95,
"POL","EMP","TOT","PC_WKGPOP","A","2011",59.3,
"POL","EMP","TOT","PC_WKGPOP","A","2012",59.675,
"POL","EMP","TOT","PC_WKGPOP","A","2013",60,
"POL","EMP","TOT","PC_WKGPOP","A","2014",61.675,
"POL","EMP","TOT","PC_WKGPOP","A","2015",62.925,
"POL","EMP","TOT","PC_WKGPOP","A","2016",64.5,
"POL","EMP","TOT","PC_WKGPOP","A","2017",66.125,
"POL","EMP","TOT","PC_WKGPOP","A","2018",67.4,
"PRT","EMP","TOT","PC_WKGPOP","A","2010",65.275,"B"
"PRT","EMP","TOT","PC_WKGPOP","A","2011",63.825,
"PRT","EMP","TOT","PC_WKGPOP","A","2012",61.425,
"PRT","EMP","TOT","PC_WKGPOP","A","2013",60.625,
"PRT","EMP","TOT","PC_WKGPOP","A","2014",62.625,
"PRT","EMP","TOT","PC_WKGPOP","A","2015",63.925,
"PRT","EMP","TOT","PC_WKGPOP","A","2016",65.25,
"PRT","EMP","TOT","PC_WKGPOP","A","2017",67.825,
"PRT","EMP","TOT","PC_WKGPOP","A","2018",69.7,
"SVK","EMP","TOT","PC_WKGPOP","A","2010",58.775,"B"
"SVK","EMP","TOT","PC_WKGPOP","A","2011",59.325,
"SVK","EMP","TOT","PC_WKGPOP","A","2012",59.725,
"SVK","EMP","TOT","PC_WKGPOP","A","2013",59.85,
"SVK","EMP","TOT","PC_WKGPOP","A","2014",60.975,
"SVK","EMP","TOT","PC_WKGPOP","A","2015",62.725,
"SVK","EMP","TOT","PC_WKGPOP","A","2016",64.85,
"SVK","EMP","TOT","PC_WKGPOP","A","2017",66.175,
"SVK","EMP","TOT","PC_WKGPOP","A","2018",67.575,
"ESP","EMP","TOT","PC_WKGPOP","A","2010",58.85,
"ESP","EMP","TOT","PC_WKGPOP","A","2011",58.025,
"ESP","EMP","TOT","PC_WKGPOP","A","2012",55.75,
"ESP","EMP","TOT","PC_WKGPOP","A","2013",54.825,
"ESP","EMP","TOT","PC_WKGPOP","A","2014",56,
"ESP","EMP","TOT","PC_WKGPOP","A","2015",57.8,
"ESP","EMP","TOT","PC_WKGPOP","A","2016",59.55,
"ESP","EMP","TOT","PC_WKGPOP","A","2017",61.1,
"ESP","EMP","TOT","PC_WKGPOP","A","2018",62.4,
"SWE","EMP","TOT","PC_WKGPOP","A","2010",72.15,
"SWE","EMP","TOT","PC_WKGPOP","A","2011",73.575,
"SWE","EMP","TOT","PC_WKGPOP","A","2012",73.775,
"SWE","EMP","TOT","PC_WKGPOP","A","2013",74.4,
"SWE","EMP","TOT","PC_WKGPOP","A","2014",74.85,
"SWE","EMP","TOT","PC_WKGPOP","A","2015",75.525,
"SWE","EMP","TOT","PC_WKGPOP","A","2016",76.2,
"SWE","EMP","TOT","PC_WKGPOP","A","2017",76.85,
"SWE","EMP","TOT","PC_WKGPOP","A","2018",77.525,
"CHE","EMP","TOT","PC_WKGPOP","A","2010",77.325,
"CHE","EMP","TOT","PC_WKGPOP","A","2011",78.35,
"CHE","EMP","TOT","PC_WKGPOP","A","2012",78.475,
"CHE","EMP","TOT","PC_WKGPOP","A","2013",78.4,
"CHE","EMP","TOT","PC_WKGPOP","A","2014",78.75,
"CHE","EMP","TOT","PC_WKGPOP","A","2015",79.2,
"CHE","EMP","TOT","PC_WKGPOP","A","2016",79.6,
"CHE","EMP","TOT","PC_WKGPOP","A","2017",79.8,
"CHE","EMP","TOT","PC_WKGPOP","A","2018",80.1,
"TUR","EMP","TOT","PC_WKGPOP","A","2010",46.275,
"TUR","EMP","TOT","PC_WKGPOP","A","2011",48.4,
"TUR","EMP","TOT","PC_WKGPOP","A","2012",48.9,
"TUR","EMP","TOT","PC_WKGPOP","A","2013",49.525,"B"
"TUR","EMP","TOT","PC_WKGPOP","A","2014",49.525,
"TUR","EMP","TOT","PC_WKGPOP","A","2015",50.15,
"TUR","EMP","TOT","PC_WKGPOP","A","2016",50.65,
"TUR","EMP","TOT","PC_WKGPOP","A","2017",51.55,
"TUR","EMP","TOT","PC_WKGPOP","A","2018",51.975,
"GBR","EMP","TOT","PC_WKGPOP","A","2010",69.375,
"GBR","EMP","TOT","PC_WKGPOP","A","2011",69.3,
"GBR","EMP","TOT","PC_WKGPOP","A","2012",69.975,
"GBR","EMP","TOT","PC_WKGPOP","A","2013",70.525,
"GBR","EMP","TOT","PC_WKGPOP","A","2014",71.9,
"GBR","EMP","TOT","PC_WKGPOP","A","2015",72.725,
"GBR","EMP","TOT","PC_WKGPOP","A","2016",73.475,
"GBR","EMP","TOT","PC_WKGPOP","A","2017",74.125,
"GBR","EMP","TOT","PC_WKGPOP","A","2018",74.7,
"USA","EMP","TOT","PC_WKGPOP","A","2010",66.68977,
"USA","EMP","TOT","PC_WKGPOP","A","2011",66.64754,
"USA","EMP","TOT","PC_WKGPOP","A","2012",67.13661,
"USA","EMP","TOT","PC_WKGPOP","A","2013",67.35994,
"USA","EMP","TOT","PC_WKGPOP","A","2014",68.14875,
"USA","EMP","TOT","PC_WKGPOP","A","2015",68.70962,
"USA","EMP","TOT","PC_WKGPOP","A","2016",69.35136,
"USA","EMP","TOT","PC_WKGPOP","A","2017",70.11017,
"USA","EMP","TOT","PC_WKGPOP","A","2018",70.72614,
"CHL","EMP","TOT","PC_WKGPOP","A","2010",59.32086,
"CHL","EMP","TOT","PC_WKGPOP","A","2011",61.30072,
"CHL","EMP","TOT","PC_WKGPOP","A","2012",61.83823,
"CHL","EMP","TOT","PC_WKGPOP","A","2013",62.32574,
"CHL","EMP","TOT","PC_WKGPOP","A","2014",62.21513,
"CHL","EMP","TOT","PC_WKGPOP","A","2015",62.44113,
"CHL","EMP","TOT","PC_WKGPOP","A","2016",62.23901,
"CHL","EMP","TOT","PC_WKGPOP","A","2017",62.67903,
"CHL","EMP","TOT","PC_WKGPOP","A","2018",62.61494,
"EST","EMP","TOT","PC_WKGPOP","A","2010",61.25,
"EST","EMP","TOT","PC_WKGPOP","A","2011",65.3,
"EST","EMP","TOT","PC_WKGPOP","A","2012",67.15,
"EST","EMP","TOT","PC_WKGPOP","A","2013",68.475,
"EST","EMP","TOT","PC_WKGPOP","A","2014",69.575,
"EST","EMP","TOT","PC_WKGPOP","A","2015",71.875,
"EST","EMP","TOT","PC_WKGPOP","A","2016",72.1,
"EST","EMP","TOT","PC_WKGPOP","A","2017",74.125,
"EST","EMP","TOT","PC_WKGPOP","A","2018",74.775,
"ISR","EMP","TOT","PC_WKGPOP","A","2010",60.1636,
"ISR","EMP","TOT","PC_WKGPOP","A","2011",60.87873,"B"
"ISR","EMP","TOT","PC_WKGPOP","A","2012",66.5,
"ISR","EMP","TOT","PC_WKGPOP","A","2013",67.05833,
"ISR","EMP","TOT","PC_WKGPOP","A","2014",67.86667,
"ISR","EMP","TOT","PC_WKGPOP","A","2015",68.31667,
"ISR","EMP","TOT","PC_WKGPOP","A","2016",68.575,
"ISR","EMP","TOT","PC_WKGPOP","A","2017",69.025,
"ISR","EMP","TOT","PC_WKGPOP","A","2018",69.03333,
"SVN","EMP","TOT","PC_WKGPOP","A","2010",66.2,
"SVN","EMP","TOT","PC_WKGPOP","A","2011",64.4,
"SVN","EMP","TOT","PC_WKGPOP","A","2012",64.075,
"SVN","EMP","TOT","PC_WKGPOP","A","2013",63.275,
"SVN","EMP","TOT","PC_WKGPOP","A","2014",63.9,
"SVN","EMP","TOT","PC_WKGPOP","A","2015",65.225,
"SVN","EMP","TOT","PC_WKGPOP","A","2016",65.85,
"SVN","EMP","TOT","PC_WKGPOP","A","2017",69.275,
"SVN","EMP","TOT","PC_WKGPOP","A","2018",71.125,
"ZAF","EMP","TOT","PC_WKGPOP","A","2010",41.83601,
"ZAF","EMP","TOT","PC_WKGPOP","A","2011",41.91941,
"ZAF","EMP","TOT","PC_WKGPOP","A","2012",42.2082,
"ZAF","EMP","TOT","PC_WKGPOP","A","2013",42.72718,
"ZAF","EMP","TOT","PC_WKGPOP","A","2014",42.77369,
"ZAF","EMP","TOT","PC_WKGPOP","A","2015",43.68032,
"ZAF","EMP","TOT","PC_WKGPOP","A","2016",43.03369,
"ZAF","EMP","TOT","PC_WKGPOP","A","2017",43.35536,
"ZAF","EMP","TOT","PC_WKGPOP","A","2018",43.24669,
"EU28","EMP","TOT","PC_WKGPOP","A","2010",64.1,
"EU28","EMP","TOT","PC_WKGPOP","A","2011",64.175,
"EU28","EMP","TOT","PC_WKGPOP","A","2012",64.075,
"EU28","EMP","TOT","PC_WKGPOP","A","2013",64.05,
"EU28","EMP","TOT","PC_WKGPOP","A","2014",64.75,
"EU28","EMP","TOT","PC_WKGPOP","A","2015",65.6,
"EU28","EMP","TOT","PC_WKGPOP","A","2016",66.575,
"EU28","EMP","TOT","PC_WKGPOP","A","2017",67.675,
"EU28","EMP","TOT","PC_WKGPOP","A","2018",68.575,
"OECD","EMP","TOT","PC_WKGPOP","A","2010",64.42769,"B"
"OECD","EMP","TOT","PC_WKGPOP","A","2011",64.74374,"B"
"OECD","EMP","TOT","PC_WKGPOP","A","2012",64.94686,
"OECD","EMP","TOT","PC_WKGPOP","A","2013",65.1474,"B"
"OECD","EMP","TOT","PC_WKGPOP","A","2014",65.67224,"B"
"OECD","EMP","TOT","PC_WKGPOP","A","2015",66.26047,"B"
"OECD","EMP","TOT","PC_WKGPOP","A","2016",66.95714,"B"
"OECD","EMP","TOT","PC_WKGPOP","A","2017",67.69498,"B"
"OECD","EMP","TOT","PC_WKGPOP","A","2018",68.40353,"B"
"G-7","EMP","TOT","PC_WKGPOP","A","2010",67.23091,"B"
"G-7","EMP","TOT","PC_WKGPOP","A","2011",67.4661,"B"
"G-7","EMP","TOT","PC_WKGPOP","A","2012",67.72838,
"G-7","EMP","TOT","PC_WKGPOP","A","2013",68.04147,"B"
"G-7","EMP","TOT","PC_WKGPOP","A","2014",68.64656,
"G-7","EMP","TOT","PC_WKGPOP","A","2015",69.14885,
"G-7","EMP","TOT","PC_WKGPOP","A","2016",69.85002,
"G-7","EMP","TOT","PC_WKGPOP","A","2017",70.58581,
"G-7","EMP","TOT","PC_WKGPOP","A","2018",71.33324,
"EA19","EMP","TOT","PC_WKGPOP","A","2010",64.025,
"EA19","EMP","TOT","PC_WKGPOP","A","2011",64.15,
"EA19","EMP","TOT","PC_WKGPOP","A","2012",63.725,
"EA19","EMP","TOT","PC_WKGPOP","A","2013",63.45,
"EA19","EMP","TOT","PC_WKGPOP","A","2014",63.8,
"EA19","EMP","TOT","PC_WKGPOP","A","2015",64.45,
"EA19","EMP","TOT","PC_WKGPOP","A","2016",65.425,
"EA19","EMP","TOT","PC_WKGPOP","A","2017",66.325,
"EA19","EMP","TOT","PC_WKGPOP","A","2018",67.3,
"COL","EMP","TOT","PC_WKGPOP","A","2010",63.6525,
"COL","EMP","TOT","PC_WKGPOP","A","2011",65.08667,
"COL","EMP","TOT","PC_WKGPOP","A","2012",66.28333,
"COL","EMP","TOT","PC_WKGPOP","A","2013",66.53833,
"COL","EMP","TOT","PC_WKGPOP","A","2014",67.055,
"COL","EMP","TOT","PC_WKGPOP","A","2015",67.62417,
"COL","EMP","TOT","PC_WKGPOP","A","2016",67.1775,
"COL","EMP","TOT","PC_WKGPOP","A","2017",66.93417,
"COL","EMP","TOT","PC_WKGPOP","A","2018",66.36833,
"LVA","EMP","TOT","PC_WKGPOP","A","2010",58.5,
"LVA","EMP","TOT","PC_WKGPOP","A","2011",60.825,
"LVA","EMP","TOT","PC_WKGPOP","A","2012",62.975,
"LVA","EMP","TOT","PC_WKGPOP","A","2013",65.05,
"LVA","EMP","TOT","PC_WKGPOP","A","2014",66.3,
"LVA","EMP","TOT","PC_WKGPOP","A","2015",68.1,
"LVA","EMP","TOT","PC_WKGPOP","A","2016",68.725,
"LVA","EMP","TOT","PC_WKGPOP","A","2017",70.1,
"LVA","EMP","TOT","PC_WKGPOP","A","2018",71.8,
"LTU","EMP","TOT","PC_WKGPOP","A","2010",57.55,
"LTU","EMP","TOT","PC_WKGPOP","A","2011",60.2,
"LTU","EMP","TOT","PC_WKGPOP","A","2012",62.025,
"LTU","EMP","TOT","PC_WKGPOP","A","2013",63.725,
"LTU","EMP","TOT","PC_WKGPOP","A","2014",65.65,
"LTU","EMP","TOT","PC_WKGPOP","A","2015",67.25,
"LTU","EMP","TOT","PC_WKGPOP","A","2016",69.375,
"LTU","EMP","TOT","PC_WKGPOP","A","2017",70.375,
"LTU","EMP","TOT","PC_WKGPOP","A","2018",72.4,
