name,cmc,colors,type,subtypes,rarity,power,toughness,image_url,code
Ascendant Evincar,6,['Black'],Legendary Creature — Vampire,['Vampire'],Rare,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=106525&type=card,10E
Ascendant Evincar,6,['Black'],Legendary Creature — Vampire,['Vampire'],Rare,3,3,,10E
Avatar of Might,8,['Green'],Creature — Avatar,['Avatar'],Rare,8,8,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135249&type=card,10E
Avatar of Might,8,['Green'],Creature — Avatar,['Avatar'],Rare,8,8,,10E
Aven Cloudchaser,4,['White'],Creature — Bird Soldier,"['Bird', 'Soldier']",Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129470&type=card,10E
Aven Cloudchaser,4,['White'],Creature — Bird Soldier,"['Bird', 'Soldier']",Common,2,2,,10E
Aven Fisher,4,['Blue'],Creature — Bird Soldier,"['Bird', 'Soldier']",Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130985&type=card,10E
Aven Fisher,4,['Blue'],Creature — Bird Soldier,"['Bird', 'Soldier']",Common,2,2,,10E
Aven Windreader,5,['Blue'],Creature — Bird Soldier Wizard,"['Bird', 'Soldier', 'Wizard']",Common,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129473&type=card,10E
Aven Windreader,5,['Blue'],Creature — Bird Soldier Wizard,"['Bird', 'Soldier', 'Wizard']",Common,3,3,,10E
Ballista Squad,4,['White'],Creature — Human Rebel,"['Human', 'Rebel']",Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129477&type=card,10E
Benalish Knight,3,['White'],Creature — Human Knight,"['Human', 'Knight']",Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=136279&type=card,10E
Benalish Knight,3,['White'],Creature — Human Knight,"['Human', 'Knight']",Common,2,2,,10E
Birds of Paradise,1,['Green'],Creature — Bird,['Bird'],Rare,0,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129906&type=card,10E
Birds of Paradise,1,['Green'],Creature — Bird,['Bird'],Rare,0,1,,10E
Bloodfire Colossus,8,['Red'],Creature — Giant,['Giant'],Rare,6,6,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129709&type=card,10E
Bloodrock Cyclops,3,['Red'],Creature — Cyclops,['Cyclops'],Common,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130384&type=card,10E
Bog Wraith,4,['Black'],Creature — Wraith,['Wraith'],Uncommon,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129491&type=card,10E
Bog Wraith,4,['Black'],Creature — Wraith,['Wraith'],Uncommon,3,3,,10E
Bogardan Firefiend,3,['Red'],Creature — Elemental Spirit,"['Elemental', 'Spirit']",Common,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130534&type=card,10E
Bottle Gnomes,3,[],Artifact Creature — Gnome,['Gnome'],Uncommon,1,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129495&type=card,10E
Canopy Spider,2,['Green'],Creature — Spider,['Spider'],Common,1,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135185&type=card,10E
Canopy Spider,2,['Green'],Creature — Spider,['Spider'],Common,1,3,,10E
Cephalid Constable,3,['Blue'],Creature — Cephalid Wizard,"['Cephalid', 'Wizard']",Rare,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135261&type=card,10E
"Cho-Manno, Revolutionary",4,['White'],Legendary Creature — Human Rebel,"['Human', 'Rebel']",Rare,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130554&type=card,10E
Civic Wayfinder,3,['Green'],Creature — Elf Druid Warrior,"['Elf', 'Druid', 'Warrior']",Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130522&type=card,10E
Clone,4,['Blue'],Creature — Shapeshifter,['Shapeshifter'],Rare,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129501&type=card,10E
Cloud Elemental,3,['Blue'],Creature — Elemental,['Elemental'],Common,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129804&type=card,10E
Cloud Elemental,3,['Blue'],Creature — Elemental,['Elemental'],Common,2,3,,10E
Cloud Sprite,1,['Blue'],Creature — Faerie,['Faerie'],Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=132069&type=card,10E
Cloud Sprite,1,['Blue'],Creature — Faerie,['Faerie'],Common,1,1,,10E
Colossus of Sardia,9,[],Artifact Creature — Golem,['Golem'],Rare,9,9,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135268&type=card,10E
Colossus of Sardia,9,[],Artifact Creature — Golem,['Golem'],Rare,9,9,,10E
Composite Golem,6,[],Artifact Creature — Golem,['Golem'],Uncommon,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135275&type=card,10E
Crafty Pathmage,3,['Blue'],Creature — Human Wizard,"['Human', 'Wizard']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=134758&type=card,10E
Craw Wurm,6,['Green'],Creature — Wurm,['Wurm'],Common,6,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130527&type=card,10E
Denizen of the Deep,8,['Blue'],Creature — Serpent,['Serpent'],Rare,11,11,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135250&type=card,10E
Doomed Necromancer,3,['Black'],Creature — Human Cleric Mercenary,"['Human', 'Cleric', 'Mercenary']",Rare,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129880&type=card,10E
Dreamborn Muse,4,['Blue'],Creature — Spirit,['Spirit'],Rare,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135246&type=card,10E
Dross Crocodile,4,['Black'],Creature — Zombie Crocodile,"['Zombie', 'Crocodile']",Common,5,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135216&type=card,10E
Drudge Skeletons,2,['Black'],Creature — Skeleton,['Skeleton'],Uncommon,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129529&type=card,10E
Drudge Skeletons,2,['Black'],Creature — Skeleton,['Skeleton'],Uncommon,1,1,,10E
Duct Crawler,1,['Red'],Creature — Insect,['Insect'],Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129579&type=card,10E
Dusk Imp,3,['Black'],Creature — Imp,['Imp'],Common,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129490&type=card,10E
Dusk Imp,3,['Black'],Creature — Imp,['Imp'],Common,2,1,,10E
Earth Elemental,5,['Red'],Creature — Elemental,['Elemental'],Uncommon,4,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129554&type=card,10E
Elven Riders,5,['Green'],Creature — Elf,['Elf'],Uncommon,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135266&type=card,10E
Elvish Berserker,1,['Green'],Creature — Elf Berserker,"['Elf', 'Berserker']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129533&type=card,10E
Elvish Champion,3,['Green'],Creature — Elf,['Elf'],Rare,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129534&type=card,10E
Elvish Champion,3,['Green'],Creature — Elf,['Elf'],Rare,2,2,,10E
Elvish Piper,4,['Green'],Creature — Elf Shaman,"['Elf', 'Shaman']",Rare,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129535&type=card,10E
Enormous Baloth,7,['Green'],Creature — Beast,['Beast'],Uncommon,7,7,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135263&type=card,10E
Femeref Archers,3,['Green'],Creature — Human Archer,"['Human', 'Archer']",Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135186&type=card,10E
Festering Goblin,1,['Black'],Creature — Zombie Goblin,"['Zombie', 'Goblin']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129546&type=card,10E
Field Marshal,3,['White'],Creature — Human Soldier,"['Human', 'Soldier']",Rare,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135258&type=card,10E
Field Marshal,3,['White'],Creature — Human Soldier,"['Human', 'Soldier']",Rare,2,2,,10E
Flamewave Invoker,3,['Red'],Creature — Goblin Mutant,"['Goblin', 'Mutant']",Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130378&type=card,10E
Fog Elemental,3,['Blue'],Creature — Elemental,['Elemental'],Uncommon,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=132073&type=card,10E
Fog Elemental,3,['Blue'],Creature — Elemental,['Elemental'],Uncommon,4,4,,10E
Fugitive Wizard,1,['Blue'],Creature — Human Wizard,"['Human', 'Wizard']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=134762&type=card,10E
Furnace Whelp,4,['Red'],Creature — Dragon,['Dragon'],Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130386&type=card,10E
Furnace Whelp,4,['Red'],Creature — Dragon,['Dragon'],Uncommon,2,2,,10E
Gaea's Herald,2,['Green'],Creature — Elf,['Elf'],Rare,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129789&type=card,10E
Ghost Warden,2,['White'],Creature — Spirit,['Spirit'],Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=132105&type=card,10E
Giant Spider,4,['Green'],Creature — Spider,['Spider'],Common,2,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129570&type=card,10E
Giant Spider,4,['Green'],Creature — Spider,['Spider'],Common,2,4,,10E
Goblin Elite Infantry,2,['Red'],Creature — Goblin Warrior,"['Goblin', 'Warrior']",Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130380&type=card,10E
Goblin King,3,['Red'],Creature — Goblin,['Goblin'],Rare,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129578&type=card,10E
Goblin King,3,['Red'],Creature — Goblin,['Goblin'],Rare,2,2,,10E
Goblin Piker,2,['Red'],Creature — Goblin Warrior,"['Goblin', 'Warrior']",Common,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129580&type=card,10E
Goblin Sky Raider,3,['Red'],Creature — Goblin Warrior,"['Goblin', 'Warrior']",Common,1,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129582&type=card,10E
Goblin Sky Raider,3,['Red'],Creature — Goblin Warrior,"['Goblin', 'Warrior']",Common,1,2,,10E
Graveborn Muse,4,['Black'],Creature — Zombie Spirit,"['Zombie', 'Spirit']",Rare,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135256&type=card,10E
Gravedigger,4,['Black'],Creature — Zombie,['Zombie'],Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129584&type=card,10E
Grizzly Bears,2,['Green'],Creature — Bear,['Bear'],Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129586&type=card,10E
Hate Weaver,2,['Black'],Creature — Zombie Wizard,"['Zombie', 'Wizard']",Uncommon,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130995&type=card,10E
Hidden Horror,3,['Black'],Creature — Horror,['Horror'],Uncommon,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135234&type=card,10E
Highway Robber,4,['Black'],Creature — Human Mercenary,"['Human', 'Mercenary']",Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129564&type=card,10E
Hill Giant,4,['Red'],Creature — Giant,['Giant'],Common,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129591&type=card,10E
Honor Guard,1,['White'],Creature — Human Soldier,"['Human', 'Soldier']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129595&type=card,10E
Horseshoe Crab,3,['Blue'],Creature — Crab,['Crab'],Common,1,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129596&type=card,10E
Hunted Wumpus,4,['Green'],Creature — Beast,['Beast'],Uncommon,6,6,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129599&type=card,10E
Hypnotic Specter,3,['Black'],Creature — Specter,['Specter'],Rare,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129600&type=card,10E
Hypnotic Specter,3,['Black'],Creature — Specter,['Specter'],Rare,2,2,,10E
Icatian Priest,1,['White'],Creature — Human Cleric,"['Human', 'Cleric']",Uncommon,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=132123&type=card,10E
Joiner Adept,2,['Green'],Creature — Elf Druid,"['Elf', 'Druid']",Rare,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130500&type=card,10E
Juggernaut,4,[],Artifact Creature — Juggernaut,['Juggernaut'],Uncommon,5,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135240&type=card,10E
"Kamahl, Pit Fighter",6,['Red'],Legendary Creature — Human Barbarian,"['Human', 'Barbarian']",Rare,6,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=106398&type=card,10E
"Kamahl, Pit Fighter",6,['Red'],Legendary Creature — Human Barbarian,"['Human', 'Barbarian']",Rare,6,1,,10E
Karplusan Strider,4,['Green'],Creature — Yeti,['Yeti'],Uncommon,3,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129911&type=card,10E
Kavu Climber,5,['Green'],Creature — Kavu,['Kavu'],Common,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129511&type=card,10E
Kjeldoran Royal Guard,5,['White'],Creature — Human Soldier,"['Human', 'Soldier']",Rare,2,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130551&type=card,10E
Knight of Dusk,3,['Black'],Creature — Human Knight,"['Human', 'Knight']",Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129574&type=card,10E
Lavaborn Muse,4,['Red'],Creature — Spirit,['Spirit'],Rare,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130373&type=card,10E
Lightning Elemental,4,['Red'],Creature — Elemental,['Elemental'],Common,4,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129624&type=card,10E
Lightning Elemental,4,['Red'],Creature — Elemental,['Elemental'],Common,4,1,,10E
Llanowar Elves,1,['Green'],Creature — Elf Druid,"['Elf', 'Druid']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129626&type=card,10E
Llanowar Sentinel,3,['Green'],Creature — Elf,['Elf'],Common,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129536&type=card,10E
Looming Shade,3,['Black'],Creature — Shade,['Shade'],Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129628&type=card,10E
Lord of the Pit,7,['Black'],Creature — Demon,['Demon'],Rare,7,7,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135271&type=card,10E
Lord of the Pit,7,['Black'],Creature — Demon,['Demon'],Rare,7,7,,10E
Lord of the Undead,3,['Black'],Creature — Zombie,['Zombie'],Rare,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129629&type=card,10E
Loxodon Mystic,5,['White'],Creature — Elephant Cleric,"['Elephant', 'Cleric']",Common,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129638&type=card,10E
Loyal Sentry,1,['White'],Creature — Human Soldier,"['Human', 'Soldier']",Rare,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129798&type=card,10E
Lumengrid Warden,2,['Blue'],Creature — Human Wizard,"['Human', 'Wizard']",Common,1,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129631&type=card,10E
Mahamoti Djinn,6,['Blue'],Creature — Djinn,['Djinn'],Rare,5,6,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129633&type=card,10E
Mahamoti Djinn,6,['Blue'],Creature — Djinn,['Djinn'],Rare,5,6,,10E
Mantis Engine,5,[],Artifact Creature — Insect,['Insect'],Uncommon,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=136289&type=card,10E
Mantis Engine,5,[],Artifact Creature — Insect,['Insect'],Uncommon,3,3,,10E
Mass of Ghouls,5,['Black'],Creature — Zombie Warrior,"['Zombie', 'Warrior']",Common,5,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135218&type=card,10E
Merfolk Looter,2,['Blue'],Creature — Merfolk Rogue,"['Merfolk', 'Rogue']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130900&type=card,10E
Might Weaver,2,['Green'],Creature — Human Wizard,"['Human', 'Wizard']",Uncommon,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130996&type=card,10E
Might Weaver,2,['Green'],Creature — Human Wizard,"['Human', 'Wizard']",Uncommon,2,1,,10E
"Mirri, Cat Warrior",3,['Green'],Legendary Creature — Cat Warrior,"['Cat', 'Warrior']",Rare,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=106405&type=card,10E
"Mirri, Cat Warrior",3,['Green'],Legendary Creature — Cat Warrior,"['Cat', 'Warrior']",Rare,2,3,,10E
Mogg Fanatic,1,['Red'],Creature — Goblin,['Goblin'],Uncommon,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=134748&type=card,10E
"Molimo, Maro-Sorcerer",7,['Green'],Legendary Creature — Elemental,['Elemental'],Rare,*,*,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=106368&type=card,10E
"Molimo, Maro-Sorcerer",7,['Green'],Legendary Creature — Elemental,['Elemental'],Rare,*,*,,10E
Mortivore,4,['Black'],Creature — Lhurgoyf,['Lhurgoyf'],Rare,*,*,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129648&type=card,10E
Mortivore,4,['Black'],Creature — Lhurgoyf,['Lhurgoyf'],Rare,*,*,,10E
Nantuko Husk,3,['Black'],Creature — Zombie Insect,"['Zombie', 'Insect']",Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129653&type=card,10E
Nekrataal,4,['Black'],Creature — Human Assassin,"['Human', 'Assassin']",Uncommon,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129658&type=card,10E
Nekrataal,4,['Black'],Creature — Human Assassin,"['Human', 'Assassin']",Uncommon,2,1,,10E
Nightmare,6,['Black'],Creature — Nightmare Horse,"['Nightmare', 'Horse']",Rare,*,*,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129659&type=card,10E
Nightmare,6,['Black'],Creature — Nightmare Horse,"['Nightmare', 'Horse']",Rare,*,*,,10E
Nomad Mythmaker,3,['White'],Creature — Human Nomad Cleric,"['Human', 'Nomad', 'Cleric']",Rare,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130547&type=card,10E
Nomad Mythmaker,3,['White'],Creature — Human Nomad Cleric,"['Human', 'Nomad', 'Cleric']",Rare,2,2,,10E
Orcish Artillery,3,['Red'],Creature — Orc Warrior,"['Orc', 'Warrior']",Uncommon,1,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129663&type=card,10E
Ornithopter,0,[],Artifact Creature — Thopter,['Thopter'],Uncommon,0,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129665&type=card,10E
Ornithopter,0,[],Artifact Creature — Thopter,['Thopter'],Uncommon,0,2,,10E
Paladin en-Vec,3,['White'],Creature — Human Knight,"['Human', 'Knight']",Rare,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129668&type=card,10E
Paladin en-Vec,3,['White'],Creature — Human Knight,"['Human', 'Knight']",Rare,2,2,,10E
Phage the Untouchable,7,['Black'],Legendary Creature — Avatar Minion,"['Avatar', 'Minion']",Rare,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=106427&type=card,10E
Phantom Warrior,3,['Blue'],Creature — Illusion Warrior,"['Illusion', 'Warrior']",Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=132064&type=card,10E
Phyrexian Rager,3,['Black'],Creature — Horror,['Horror'],Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135189&type=card,10E
Pincher Beetles,3,['Green'],Creature — Insect,['Insect'],Common,3,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130526&type=card,10E
Pincher Beetles,3,['Green'],Creature — Insect,['Insect'],Common,3,1,,10E
Plague Beetle,1,['Black'],Creature — Insect,['Insect'],Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129678&type=card,10E
Plague Beetle,1,['Black'],Creature — Insect,['Insect'],Common,1,1,,10E
Platinum Angel,7,[],Artifact Creature — Angel,['Angel'],Rare,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=106537&type=card,10E
Platinum Angel,7,[],Artifact Creature — Angel,['Angel'],Rare,4,4,,10E
Prodigal Pyromancer,3,['Red'],Creature — Human Wizard,"['Human', 'Wizard']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=134752&type=card,10E
Puppeteer,3,['Blue'],Creature — Human Wizard,"['Human', 'Wizard']",Uncommon,1,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129685&type=card,10E
Quirion Dryad,2,['Green'],Creature — Dryad,['Dryad'],Rare,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130489&type=card,10E
Rage Weaver,2,['Red'],Creature — Human Wizard,"['Human', 'Wizard']",Uncommon,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130997&type=card,10E
Rage Weaver,2,['Red'],Creature — Human Wizard,"['Human', 'Wizard']",Uncommon,2,1,,10E
Raging Goblin,1,['Red'],Creature — Goblin Berserker,"['Goblin', 'Berserker']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129688&type=card,10E
Raging Goblin,1,['Red'],Creature — Goblin Berserker,"['Goblin', 'Berserker']",Common,1,1,,10E
Ravenous Rats,2,['Black'],Creature — Rat,['Rat'],Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129692&type=card,10E
Razormane Masticore,5,[],Artifact Creature — Masticore,['Masticore'],Rare,5,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=106552&type=card,10E
Razormane Masticore,5,[],Artifact Creature — Masticore,['Masticore'],Rare,5,5,,10E
Relentless Rats,3,['Black'],Creature — Rat,['Rat'],Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135236&type=card,10E
Reya Dawnbringer,9,['White'],Legendary Creature — Angel,['Angel'],Rare,4,6,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=106384&type=card,10E
Reya Dawnbringer,9,['White'],Legendary Creature — Angel,['Angel'],Rare,4,6,,10E
Rhox,6,['Green'],Creature — Rhino Beast,"['Rhino', 'Beast']",Rare,5,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=106504&type=card,10E
Rhox,6,['Green'],Creature — Rhino Beast,"['Rhino', 'Beast']",Rare,5,5,,10E
Rock Badger,5,['Red'],Creature — Badger Beast,"['Badger', 'Beast']",Common,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129715&type=card,10E
Rock Badger,5,['Red'],Creature — Badger Beast,"['Badger', 'Beast']",Common,3,3,,10E
Rootwalla,3,['Green'],Creature — Lizard,['Lizard'],Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129707&type=card,10E
Rootwater Commando,3,['Blue'],Creature — Merfolk,['Merfolk'],Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129733&type=card,10E
Rootwater Commando,3,['Blue'],Creature — Merfolk,['Merfolk'],Common,2,2,,10E
Rootwater Matriarch,4,['Blue'],Creature — Merfolk,['Merfolk'],Rare,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135252&type=card,10E
Royal Assassin,3,['Black'],Creature — Human Assassin,"['Human', 'Assassin']",Rare,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129708&type=card,10E
Rushwood Dryad,2,['Green'],Creature — Dryad,['Dryad'],Common,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=136285&type=card,10E
Rushwood Dryad,2,['Green'],Creature — Dryad,['Dryad'],Common,2,1,,10E
Sage Owl,2,['Blue'],Creature — Bird,['Bird'],Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=135217&type=card,10E
Sage Owl,2,['Blue'],Creature — Bird,['Bird'],Common,1,1,,10E
Samite Healer,2,['White'],Creature — Human Cleric,"['Human', 'Cleric']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=132101&type=card,10E
Scalpelexis,5,['Blue'],Creature — Beast,['Beast'],Rare,1,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130818&type=card,10E
Scalpelexis,5,['Blue'],Creature — Beast,['Beast'],Rare,1,5,,10E
Scathe Zombies,3,['Black'],Creature — Zombie,['Zombie'],Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129718&type=card,10E
Scion of the Wild,3,['Green'],Creature — Avatar,['Avatar'],Rare,*,*,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130504&type=card,10E
Scoria Wurm,5,['Red'],Creature — Wurm,['Wurm'],Rare,7,7,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130374&type=card,10E
