UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
68,February 19 2015,DOG,SPRINGER SPANIEL,7,U,true,Brooklyn,11213
69,February 21 2015,DOG,Pit Bull,,U,false,Brooklyn,11217
70,February 06 2015,DOG,Shiba Inu,3,M,false,Brooklyn,
71,February 12 2015,DOG,Pit Bull,,U,false,Brooklyn,11224
72,February 22 2015,DOG,Pit Bull,10,M,true,Brooklyn,11235
73,February 24 2015,DOG,Pit Bull,1,F,false,Brooklyn,11215
74,February 24 2015,DOG,Pit Bull,10,F,true,Brooklyn,11210
75,February 24 2015,DOG,WESTIE,,U,false,Brooklyn,11234
76,February 22 2015,DOG,Pit Bull,,U,false,Brooklyn,
77,February 21 2015,DOG,Pit Bull,,U,false,Brooklyn,11231
78,February 26 2015,DOG,Pit Bull,,U,false,Brooklyn,11206
79,February 22 2015,DOG,FOX HOUND,3,F,true,Brooklyn,11209
80,February 23 2015,DOG,Pit Bull,,U,false,Brooklyn,
81,February 26 2015,DOG,Pit Bull,1,M,false,Brooklyn,11226
82,February 28 2015,DOG,Weimaraner,11,M,true,Brooklyn,11230
83,February 26 2015,DOG,German Shepherd,,U,false,Brooklyn,11220
84,February 01 2015,DOG,Rottweiler,,U,false,Brooklyn,11215
85,March 01 2015,DOG,American Pit Bull Mix / Pit Bull Mix,6,F,true,Brooklyn,11225
86,February 28 2015,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,false,Brooklyn,11228
87,February 10 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11221
88,March 03 2015,DOG,,,U,false,Brooklyn,11235
89,March 04 2015,DOG,"Jindo Dog,",,M,true,Brooklyn,11215
90,March 06 2015,DOG,American Pit Bull Mix / Pit Bull Mix,10,F,false,Brooklyn,11206
91,March 07 2015,DOG,"Bull Dog, English",2,M,true,Brooklyn,11201
92,February 27 2015,DOG,American Pit Bull Terrier/Pit Bull,3,M,false,Brooklyn,11206
93,March 07 2015,DOG,BULLDOG/SHARPEI,11,M,true,Brooklyn,11233
94,March 08 2015,DOG,Shih Tzu,4,M,false,Brooklyn,11234
95,March 10 2015,DOG,COCKER/CORGI X,,M,false,Brooklyn,11201
96,March 06 2015,DOG,Pit Bull,,U,false,Brooklyn,
97,March 12 2015,DOG,Jack Russ,7M,M,false,Brooklyn,11208
98,March 12 2015,DOG,Shih Tzu,,U,false,Brooklyn,11217
99,February 26 2015,DOG,Pit Bull,2,M,false,Brooklyn,11216
100,March 13 2015,DOG,Pug,6,M,true,Brooklyn,11231
101,March 15 2015,DOG,Yorkshire Terrier,4,M,false,Brooklyn,11205
102,March 14 2015,DOG,Chow Chow,3,M,false,Brooklyn,11234
103,March 15 2015,DOG,American Staffordshire Terrier,8,M,true,Brooklyn,11230
104,March 14 2015,DOG,SHEPHERD MIX,5,M,true,Brooklyn,11229
105,March 16 2015,DOG,Maltese,7,M,true,Brooklyn,11221
106,March 18 2015,DOG,American Pit Bull Terrier/Pit Bull,5,M,true,Brooklyn,11207
107,March 16 2015,DOG,Yorkshire Terrier,1,M,false,Brooklyn,11221
108,March 14 2015,DOG,Cocker Spaniel,,U,false,Brooklyn,11213
109,March 16 2015,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,true,Brooklyn,11234
110,March 16 2015,DOG,Pit Bull,,F,true,Brooklyn,11223
111,March 17 2015,DOG,"Collie, Border",,U,false,Brooklyn,
112,March 09 2015,DOG,Miniature Pinscher,,M,false,Brooklyn,11235
113,March 22 2015,DOG,Shih Tzu,2,M,false,Brooklyn,11223
114,March 21 2015,DOG,Doberman Pinscher,8,F,false,Brooklyn,11204
115,March 22 2015,DOG,Shih Tzu,7,M,true,Brooklyn,11208
116,March 22 2015,DOG,German Shepherd,,U,false,Brooklyn,11217
117,March 21 2015,DOG,"Bull Dog, French",6,M,true,Brooklyn,11217
118,February 02 2015,DOG,Pekingese,4,M,false,Brooklyn,11238
119,March 15 2015,DOG,Chihuahua,6,M,false,Brooklyn,11221
120,March 25 2015,DOG,TERRIER,5,M,false,Brooklyn,11027
121,March 29 2015,DOG,Pit Bull,1,M,false,Brooklyn,11224
122,March 20 2015,DOG,HARRIER/BEAGLE,10 M,M,true,Brooklyn,11235
123,March 27 2015,DOG,TERRIER,,U,false,Brooklyn,11215
124,March 28 2015,DOG,"Dachshund, Long Haired Miniature",4,M,true,Brooklyn,11234
125,March 29 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11217
126,March 24 2015,DOG,BOXER X W/ PIT BULL,8,M,true,Brooklyn,11231
127,March 31 2015,DOG,Cocker Spaniel,3,F,false,Brooklyn,
128,April 03 2015,DOG,Yorkshire Terrier,6,M,true,Brooklyn,11233
129,April 02 2015,DOG,Chihuahua,,U,false,Brooklyn,
130,April 06 2015,DOG,Bull dog,8M,M,false,Brooklyn,11213
131,April 06 2015,DOG,American Staffordshire Terrier,,U,false,Brooklyn,11224
132,April 06 2015,DOG,American Pit Bull Terrier/Pit Bull,4,F,true,Brooklyn,11212
133,March 31 2015,DOG,PITBULL/LAB RETRIEVER,5,F,true,Brooklyn,
134,March 27 2015,DOG,BOXER/RHODESIAN RIDGEBACK X,5,F,false,Brooklyn,11214
135,April 06 2015,DOG,Chihuahua Crossbreed,4M,M,false,Brooklyn,11205
136,April 06 2015,DOG,"Poodle, Standard",2,M,false,Brooklyn,11213
137,April 07 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11231
138,April 01 2015,DOG,Bull Terrier,1,M,false,Brooklyn,11201
139,April 08 2015,DOG,CATAHOULA LEOPARD DOG,1,M,true,Brooklyn,11235
140,April 08 2015,DOG,,,U,false,Brooklyn,11214
141,April 06 2015,DOG,Yorkshire Terrier,6,F,false,Brooklyn,11219
142,April 10 2015,DOG,Cocker Spaniel Crossbreed,5,M,true,Brooklyn,11206
143,April 03 2015,DOG,BOXER/HOUND/PITBULL,6,F,true,Brooklyn,11216
144,April 12 2015,DOG,German Shepherd,11,F,true,Brooklyn,11209
145,April 10 2015,DOG,"Bull Dog, English",9M,M,false,Brooklyn,11220
146,April 10 2015,DOG,American Pit Bull Terrier/Pit Bull,6M,M,false,Brooklyn,11224
147,April 12 2015,DOG,Chihuahua,9,F,true,Brooklyn,11224
148,April 10 2015,DOG,,,U,false,Brooklyn,11208
149,April 09 2015,DOG,,,U,false,Brooklyn,
150,April 13 2015,DOG,Pit Bull,9,M,false,Brooklyn,11207
151,April 13 2015,DOG,Chihuahua,9M,M,false,Brooklyn,11208
152,April 14 2015,DOG,American Pit Bull Mix / Pit Bull Mix,2,F,true,Brooklyn,11216
153,April 10 2015,DOG,American Pit Bull Terrier/Pit Bull,3,M,true,Brooklyn,
154,April 10 2015,DOG,Siberian Husky,,U,false,Brooklyn,11226
155,April 14 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,
156,April 16 2015,DOG,American Pit Bull Terrier/Pit Bull,1,F,false,Brooklyn,11208
157,April 16 2015,DOG,Rottweiler,1,M,true,Brooklyn,11228
158,April 14 2015,DOG,Beagle Crossbreed,19,M,false,Brooklyn,11214
159,April 20 2015,DOG,,,U,false,Brooklyn,
160,April 18 2015,DOG,AUSTRALIAN CATTLE,,F,false,Brooklyn,
161,April 13 2015,DOG,,,U,false,Brooklyn,11221
162,April 11 2015,DOG,Pit Bull,,U,false,Brooklyn,11207
163,April 15 2015,DOG,Pit Bull,,U,false,Brooklyn,
164,April 19 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11221
165,April 19 2015,DOG,German Shepherd Crossbreed,15,F,true,Brooklyn,11222
166,April 17 2015,DOG,Border Terrier,3,M,true,Brooklyn,
167,April 17 2015,DOG,American Pit Bull Terrier/Pit Bull,3,M,false,Brooklyn,11231
168,April 20 2015,DOG,,4M,U,false,Brooklyn,11224
169,April 18 2015,DOG,,,U,false,Brooklyn,11220
170,April 19 2015,DOG,ITALIAN MASTIFF,3,F,false,Brooklyn,11221
171,April 12 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11235
172,April 19 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11221
173,April 17 2015,DOG,BEAGLE/JACK RUSS,4,M,true,Brooklyn,11224
174,April 16 2015,DOG,,,U,false,Brooklyn,
175,April 19 2015,DOG,American Pit Bull Terrier/Pit Bull,5,M,true,Brooklyn,11218
176,April 12 2015,DOG,,,U,false,Brooklyn,
177,April 22 2015,DOG,Maltese,7,F,true,Brooklyn,11237
178,April 23 2015,DOG,Cane Corso,15,F,false,Brooklyn,11238
179,April 22 2015,DOG,,,U,false,Brooklyn,
180,April 23 2015,DOG,PARSON RUSSELLTERR,2,M,true,Brooklyn,11231
181,April 24 2015,DOG,"Poodle, Standard",,U,false,Brooklyn,11221
182,April 25 2015,DOG,Shih Tzu,5,M,true,Brooklyn,11219
183,April 26 2015,DOG,American Staffordshire Terrier,2,M,false,Brooklyn,11212
184,April 25 2015,DOG,American Pit Bull Terrier/Pit Bull,3,M,false,Brooklyn,11221
185,April 25 2015,DOG,American Pit Bull Terrier/Pit Bull,3,M,false,Brooklyn,11221
186,April 27 2015,DOG,American Pit Bull Terrier/Pit Bull,2,M,false,Brooklyn,11218
187,April 20 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11218
188,April 25 2015,DOG,UNKNOWN,,U,false,Brooklyn,11201
189,April 25 2015,DOG,German Shepherd,7,M,true,Brooklyn,11234
190,April 11 2015,DOG,American Pit Bull Terrier/Pit Bull,3,F,true,Brooklyn,11220
191,April 29 2015,DOG,Pug,3,M,true,Brooklyn,11223
192,April 29 2015,DOG,POINTER/BEAGLE X,7,F,false,Brooklyn,11249
193,April 29 2015,DOG,SHIBA INU,5,M,true,Brooklyn,11221
194,April 30 2015,DOG,,,U,false,Brooklyn,11220
195,April 26 2015,DOG,Chihuahua,2,F,false,Brooklyn,11220
196,April 30 2015,DOG,GERMAN SHEPHERD/RIDGEBACK,5,M,true,Brooklyn,11231
197,May 01 2015,DOG,Bichon Frise,8,M,true,Brooklyn,11223
198,May 01 2015,DOG,STAFFORDSHIRE TERR,7,F,true,Brooklyn,11221
199,April 19 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11223
200,May 02 2015,DOG,Chihuahua Crossbreed,,U,false,Brooklyn,11214
201,May 02 2015,DOG,"Collie, Border",14,M,true,Brooklyn,11234
202,May 04 2015,DOG,American Pit Bull Mix / Pit Bull Mix,8M,M,false,Brooklyn,11204
203,May 04 2015,DOG,Belgian Malinois,,U,false,Brooklyn,11213
204,May 01 2015,DOG,Boxer,2,M,true,Brooklyn,11237
205,May 03 2015,DOG,,,U,false,Brooklyn,11216
206,May 01 2015,DOG,MALTESE - X,3,F,false,Brooklyn,11209
207,May 05 2015,DOG,German Shepherd,,U,false,Brooklyn,11220
208,May 01 2015,DOG,Pit Bull,,U,false,Brooklyn,
209,May 06 2015,DOG,"Collie, Smooth Coat",10,F,true,Brooklyn,11220
210,April 29 2015,DOG,,7,M,false,Brooklyn,11204
211,May 06 2015,DOG,CHIHUAHUA/BOSTON TERR X,5,M,true,Brooklyn,11222
212,April 08 2015,DOG,HUSKY/CATTLE DOG MIX,4,M,true,Brooklyn,
213,April 08 2015,DOG,HUSKY/CATTLE MIX,4,M,true,Brooklyn,
214,May 10 2015,DOG,American Pit Bull Terrier/Pit Bull,13,M,true,Brooklyn,11234
215,May 10 2015,DOG,American Staffordshire Terrier,2,M,false,Brooklyn,11228
216,May 09 2015,DOG,Siberian Husky,14,M,true,Brooklyn,11231
217,May 09 2015,DOG,American Pit Bull Mix / Pit Bull Mix,5,F,true,Brooklyn,11208
218,May 01 2015,DOG,American Staffordshire Terrier,8,M,true,Brooklyn,11217
219,May 09 2015,DOG,,,U,false,Brooklyn,
220,May 03 2015,DOG,American Pit Bull Terrier/Pit Bull,,F,false,Brooklyn,11231
221,May 11 2015,DOG,,,U,false,Brooklyn,
222,May 07 2015,DOG,Australian Shepherd,5,M,true,Brooklyn,11238
223,May 08 2015,DOG,,,U,false,Brooklyn,11209
224,May 09 2015,DOG,American Pit Bull Terrier/Pit Bull,8,M,true,Brooklyn,11219
225,May 11 2015,DOG,American Pit Bull Terrier/Pit Bull,2,F,false,Brooklyn,11218
226,April 25 2015,DOG,Shih Tzu,4,M,true,Brooklyn,11226
227,May 03 2015,DOG,Pit Bull,,U,false,Brooklyn,11235
228,May 10 2015,DOG,American Pit Bull Mix / Pit Bull Mix,3,F,false,Brooklyn,
229,May 12 2015,DOG,American Pit Bull Mix / Pit Bull Mix,5,M,true,Brooklyn,11213
230,April 30 2015,DOG,,,U,false,Brooklyn,
231,May 12 2015,DOG,Bloodhound,4,M,true,Brooklyn,11231
232,May 12 2015,DOG,Jack Russ,10,M,true,Brooklyn,11215
233,May 14 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11211
234,May 14 2015,DOG,"Cocker Spaniel, American",10,M,true,Brooklyn,11220
235,May 09 2015,DOG,Siberian Husky,,U,false,Brooklyn,
236,May 14 2015,DOG,American Pit Bull Terrier/Pit Bull,6,M,false,Brooklyn,11232
237,May 12 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,
238,April 28 2015,DOG,American Pit Bull Mix / Pit Bull Mix,1,M,true,Brooklyn,11234
239,May 15 2015,DOG,Cocker Spaniel Crossbreed,,M,false,Brooklyn,11205
240,May 18 2015,DOG,American Staffordshire Terrier,2,M,false,Brooklyn,11211
241,May 18 2015,DOG,American Staffordshire Terrier,2,M,false,Brooklyn,11211
242,May 17 2015,DOG,,,U,false,Brooklyn,
243,January 08 2015,DOG,American Pit Bull Terrier/Pit Bull,1,M,true,Brooklyn,11224
244,May 12 2015,DOG,Cane Corso,5,F,true,Brooklyn,11233
245,May 05 2015,DOG,TERRIER,,U,false,Brooklyn,
246,May 17 2015,DOG,,,U,false,Brooklyn,11226
247,May 18 2015,DOG,,,U,false,Brooklyn,
248,May 16 2015,DOG,BORDER COLLIE/JACK RUSSELL,11M,F,true,Brooklyn,
249,May 06 2015,DOG,CORGI,,M,false,Brooklyn,11222
250,May 21 2015,DOG,Shih Tzu,,U,false,Brooklyn,11229
251,May 21 2015,DOG,,,U,false,Brooklyn,11233
252,May 20 2015,DOG,MUTT,1,F,true,Brooklyn,11201
253,May 24 2015,DOG,MIXED,2,M,true,Brooklyn,
254,May 24 2015,DOG,PIT BULL/LAB X,2,F,false,Brooklyn,11236
255,May 24 2015,DOG,PIT BULL/LAB X,2,F,false,Brooklyn,11236
256,May 24 2015,DOG,Labrador Retriever,,U,false,Brooklyn,11215
257,May 24 2015,DOG,,1,M,false,Brooklyn,11207
258,May 22 2015,DOG,,,U,false,Brooklyn,
259,May 25 2015,DOG,Labrador Retriever,3,F,false,Brooklyn,11234
260,May 25 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,
261,May 17 2015,DOG,,,U,false,Brooklyn,11226
262,May 23 2015,DOG,"Mastiff, Tibetan",1,M,true,Brooklyn,11214
263,May 23 2015,DOG,MALTESE MIX,4,M,true,Brooklyn,
264,May 24 2015,DOG,SCHNAUZER,,M,false,Brooklyn,11215
265,May 18 2015,DOG,,,U,false,Brooklyn,11220
266,May 23 2015,DOG,,,U,false,Brooklyn,
267,May 27 2015,DOG,,,U,false,Brooklyn,11226
268,May 28 2015,DOG,Pit Bull,,U,false,Brooklyn,11237
269,May 24 2015,DOG,Pit Bull,,U,false,Brooklyn,11221
270,May 23 2015,DOG,American Pit Bull Mix / Pit Bull Mix,6,M,true,Brooklyn,11205
271,May 28 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11213
272,May 28 2015,DOG,American Pit Bull Mix / Pit Bull Mix,3,M,false,Brooklyn,11236
273,May 26 2015,DOG,Saint Bernard,,U,false,Brooklyn,11214
274,May 28 2015,DOG,Chihuahua,,U,false,Brooklyn,11208
275,May 30 2015,DOG,West High White Terrier,4,M,false,Brooklyn,11224
276,May 30 2015,DOG,West High White Terrier,4,M,false,Brooklyn,11224
277,May 31 2015,DOG,Chihuahua,1,M,false,Brooklyn,11207
278,May 30 2015,DOG,"Collie, Border",,U,false,Brooklyn,11211
279,May 29 2015,DOG,Labrador Retriever Crossbreed,8,F,true,Brooklyn,11229
280,May 30 2015,DOG,,,U,false,Brooklyn,11207
281,May 28 2015,DOG,,,U,false,Brooklyn,11232
282,May 31 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,
283,June 01 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11207
284,June 02 2015,DOG,Chow Chow,1,M,false,Brooklyn,11233
285,June 02 2015,DOG,Doberman Pinscher,7,M,true,Brooklyn,11228
286,June 01 2015,DOG,Yorkshire Terrier,2,M,false,Brooklyn,11217
287,May 27 2015,DOG,TEACUP YORKIE,,U,false,Brooklyn,
288,June 03 2015,DOG,SHORKY,8,M,true,Brooklyn,11238
289,May 31 2015,DOG,HAVANESE X,4,M,true,Brooklyn,11236
290,May 27 2015,DOG,BLUE HEELER X,9,M,true,Brooklyn,11237
291,June 04 2015,DOG,Pit Bull,3,F,true,Brooklyn,11226
292,June 04 2015,DOG,American Pit Bull Terrier/Pit Bull,4,M,false,Brooklyn,11226
293,June 04 2015,DOG,Yorkshire Terrier,2,M,true,Brooklyn,11214
294,June 05 2015,DOG,,,U,false,Brooklyn,11232
295,June 06 2015,DOG,Pit Bull,,U,false,Brooklyn,
296,June 06 2015,DOG,Chow Chow,4,M,false,Brooklyn,11234
297,June 05 2015,DOG,Lhasa Apso,5,M,true,Brooklyn,11231
298,June 06 2015,DOG,"Poodle, Standard",3,M,true,Brooklyn,11234
299,June 07 2015,DOG,"Pointer, German Shorthaired",8,F,true,Brooklyn,11231
300,June 07 2015,DOG,,,U,false,Brooklyn,
301,May 30 2015,DOG,SCHNOODLE,,U,false,Brooklyn,11211
302,May 30 2015,DOG,Chow Chow,2,M,false,Brooklyn,11208
303,June 09 2015,DOG,,,U,false,Brooklyn,
304,June 05 2015,DOG,Yorkshire Terrier,,U,false,Brooklyn,11221
305,June 10 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11237
306,June 09 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11213
307,June 10 2015,DOG,,5,M,false,Brooklyn,11223
308,June 10 2015,DOG,Cane Corso,2,M,false,Brooklyn,11224
309,June 09 2015,DOG,ENGLISH SETTER,6,M,false,Brooklyn,
310,May 07 2015,DOG,,6,F,false,Brooklyn,11226
311,June 09 2015,DOG,American Pit Bull Mix / Pit Bull Mix,2,F,false,Brooklyn,11208
312,June 09 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11224
313,June 12 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11233
314,June 12 2015,DOG,Maltese,,U,false,Brooklyn,11235
315,June 12 2015,DOG,,,U,false,Brooklyn,11222
316,June 14 2015,DOG,TERRIER MIX,6,M,true,Brooklyn,
317,June 06 2015,DOG,,,U,false,Brooklyn,
318,June 14 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11208
319,June 13 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,
320,June 14 2015,DOG,Jack Russ,3,F,true,Brooklyn,
321,June 12 2015,DOG,,,U,false,Brooklyn,11220
322,June 14 2015,DOG,,,U,false,Brooklyn,
323,June 12 2015,DOG,Jack Russ,2,M,true,Brooklyn,11235
324,June 12 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11216
325,June 16 2015,DOG,DOBERMAN X,1,F,false,Brooklyn,11215
326,June 14 2015,DOG,American Eskimo,5,M,true,Brooklyn,11230
327,June 19 2015,DOG,American Staffordshire Terrier,7,F,true,Brooklyn,11233
328,June 18 2015,DOG,BOSTON TERR/BOXER X,,U,false,Brooklyn,11228
329,June 07 2015,DOG,Chihuahua,3,M,true,Brooklyn,11217
330,June 22 2015,DOG,Golden Retriever,12,F,true,Brooklyn,11229
331,June 22 2015,DOG,MALTESE/CHIHUAHUA X,1,M,false,Brooklyn,11217
332,June 21 2015,DOG,Chihuahua,,U,false,Brooklyn,
333,June 19 2015,DOG,Pit Bull,5,M,true,Brooklyn,11211
334,June 19 2015,DOG,Pit Bull,,U,false,Brooklyn,11229
335,June 18 2015,DOG,American Pit Bull Terrier/Pit Bull,2,M,true,Brooklyn,11235
336,June 22 2015,DOG,Maltese,7,F,true,Brooklyn,11220
337,June 21 2015,DOG,Jack Russ,12,F,true,Brooklyn,
338,June 23 2015,DOG,American Pit Bull Terrier/Pit Bull,1,M,false,Brooklyn,11233
339,June 24 2015,DOG,,,U,false,Brooklyn,11226
340,June 24 2015,DOG,American Pit Bull Terrier/Pit Bull,,M,false,Brooklyn,11230
341,June 26 2015,DOG,UNKNOWN,,U,false,Brooklyn,11220
342,June 24 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11224
343,June 25 2015,DOG,American Staffordshire Terrier,3,M,false,Brooklyn,
344,June 28 2015,DOG,American Pit Bull Terrier/Pit Bull,5,M,false,Brooklyn,11203
345,June 23 2015,DOG,,,U,false,Brooklyn,11232
346,June 26 2015,DOG,Maltese,1,M,false,Brooklyn,11236
347,June 24 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11231
348,June 11 2015,DOG,,,U,false,Brooklyn,11206
349,June 21 2015,DOG,Pit Bull,,U,false,Brooklyn,11230
350,June 19 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11229
351,June 21 2015,DOG,Mixed/Other,2,M,false,Brooklyn,11213
352,June 28 2015,DOG,,,U,false,Brooklyn,
353,July 01 2015,DOG,Vizsla,4,M,true,Brooklyn,11249
354,June 27 2015,DOG,,,U,false,Brooklyn,11220
355,June 29 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11224
356,July 02 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11219
357,March 17 2015,DOG,Jack Russ,10,M,false,Brooklyn,11221
358,June 30 2015,DOG,,,U,false,Brooklyn,
359,July 02 2015,DOG,Golden Retriever,,U,false,Brooklyn,
360,July 05 2015,DOG,Pit Bull,,U,false,Brooklyn,11213
361,April 19 2015,DOG,,,U,false,Brooklyn,
362,June 13 2015,DOG,HUSKY/LAB X,8,F,true,Brooklyn,
