,name,cmc,colors,type,subtypes,rarity,power,toughness,image_url,code,release_date
19,Abyssal Hunter,4.0,['Black'],Creature — Human Assassin,"['Human', 'Assassin']",Rare,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3272&type=card,MIR,1996-10-08
20,Abyssal Nightstalker,4.0,['Black'],Creature — Nightstalker,['Nightstalker'],Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=6567&type=card,P02,1998-06-01
21,Abyssal Nocturnus,3.0,['Black'],Creature — Horror,['Horror'],Rare,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=96858&type=card,GPT,2006-02-03
22,Abyssal Persecutor,4.0,['Black'],Creature — Demon,['Demon'],Mythic,6,6,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=197869&type=card,WWK,2010-02-05
23,Abyssal Specter,4.0,['Black'],Creature — Specter,['Specter'],Uncommon,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2437&type=card,ICE,1995-06-01
24,Abzan Battle Priest,4.0,['White'],Creature — Human Cleric,"['Human', 'Cleric']",Uncommon,3,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=386466&type=card,KTK,2014-09-26
25,Abzan Beastmaster,3.0,['Green'],Creature — Hound Shaman,"['Hound', 'Shaman']",Rare,2,1,,F15,2015-01-01
26,Abzan Falconer,3.0,['White'],Creature — Human Soldier,"['Human', 'Soldier']",Uncommon,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=386468&type=card,KTK,2014-09-26
27,Abzan Guide,6.0,"['Black', 'Green', 'White']",Creature — Human Warrior,"['Human', 'Warrior']",Common,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=386469&type=card,KTK,2014-09-26
28,Abzan Kin-Guard,4.0,['Green'],Creature — Human Warrior,"['Human', 'Warrior']",Uncommon,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=391783&type=card,FRF,2015-01-23
29,Abzan Skycaptain,4.0,['White'],Creature — Bird Soldier,"['Bird', 'Soldier']",Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=391785&type=card,FRF,2015-01-23
30,Academy Drake,3.0,['Blue'],Creature — Drake,['Drake'],Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442928&type=card,DOM,2018-04-27
31,Academy Elite,4.0,['Blue'],Creature — Human Wizard,"['Human', 'Wizard']",Rare,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=382205&type=card,CNS,2014-06-06
32,Academy Journeymage,5.0,['Blue'],Creature — Human Wizard,"['Human', 'Wizard']",Common,3,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442929&type=card,DOM,2018-04-27
33,Academy Raider,3.0,['Red'],Creature — Human Warrior,"['Human', 'Warrior']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=370735&type=card,M14,2013-07-19
34,Academy Rector,4.0,['White'],Creature — Human Cleric,"['Human', 'Cleric']",Rare,1,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=15138&type=card,UDS,1999-06-07
35,Academy Researchers,3.0,['Blue'],Creature — Human Wizard,"['Human', 'Wizard']",Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=9713&type=card,USG,1998-10-12
36,Acclaimed Contender,3.0,['White'],Creature — Human Knight,"['Human', 'Knight']",Rare,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=472963&type=card,ELD,2019-10-04
37,Accomplished Automaton,7.0,[],Artifact Creature — Construct,['Construct'],Common,5,7,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=417764&type=card,KLD,2016-09-30
38,Accorder Paladin,2.0,['White'],Creature — Human Knight,"['Human', 'Knight']",Uncommon,3,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=213818&type=card,MBS,2011-02-04
39,Accursed Centaur,1.0,['Black'],Creature — Zombie Centaur,"['Zombie', 'Centaur']",Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26715&type=card,ONS,2002-10-07
40,Accursed Horde,4.0,['Black'],Creature — Zombie,['Zombie'],Uncommon,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430745&type=card,HOU,2017-07-14
41,Accursed Spirit,4.0,['Black'],Creature — Spirit,['Spirit'],Common,3,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=370811&type=card,M14,2013-07-19
42,Accursed Witch,4.0,['Black'],Creature — Human Shaman,"['Human', 'Shaman']",Uncommon,4,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=409843&type=card,SOI,2016-04-08
43,Acid Web Spider,5.0,['Green'],Creature — Spider,['Spider'],Uncommon,3,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=209290&type=card,SOM,2010-10-01
44,Acid-Spewer Dragon,6.0,['Black'],Creature — Dragon,['Dragon'],Uncommon,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=394485&type=card,DTK,2015-03-27
45,Acidic Slime,5.0,['Green'],Creature — Ooze,['Ooze'],Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189880&type=card,M10,2009-07-17
46,Acidic Sliver,2.0,"['Black', 'Red']",Creature — Sliver,['Sliver'],Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=5108&type=card,STH,1998-03-02
47,Acolyte of Affliction,4.0,"['Black', 'Green']",Creature — Human Cleric,"['Human', 'Cleric']",Uncommon,2,3,,THB,2020-01-24
48,Acolyte of Xathrid,1.0,['Black'],Creature — Human Cleric,"['Human', 'Cleric']",Common,0,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190579&type=card,M10,2009-07-17
49,Acolyte of the Inferno,3.0,['Red'],Creature — Human Monk,"['Human', 'Monk']",Uncommon,3,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=398574&type=card,ORI,2015-07-17
50,Acridian,2.0,['Green'],Creature — Insect,['Insect'],Common,2,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=5865&type=card,USG,1998-10-12
52,Adanto Vanguard,2.0,['White'],Creature — Vampire Soldier,"['Vampire', 'Soldier']",Uncommon,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435152&type=card,XLN,2017-09-29
53,Adaptive Automaton,3.0,[],Artifact Creature — Construct,['Construct'],Rare,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220147&type=card,M12,2011-07-15
54,Adaptive Snapjaw,5.0,['Green'],Creature — Lizard Beast,"['Lizard', 'Beast']",Common,6,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=366290&type=card,GTC,2013-02-01
55,Adarkar Sentinel,5.0,[],Artifact Creature — Soldier,['Soldier'],Uncommon,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2392&type=card,ICE,1995-06-01
56,Adarkar Unicorn,3.0,['White'],Creature — Unicorn,['Unicorn'],Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2661&type=card,ICE,1995-06-01
57,Adarkar Valkyrie,6.0,['White'],Snow Creature — Angel,['Angel'],Rare,4,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=121196&type=card,CSP,2006-07-21
58,Adarkar Windform,5.0,['Blue'],Snow Creature — Illusion,['Illusion'],Uncommon,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=121268&type=card,CSP,2006-07-21
59,Adder-Staff Boggart,2.0,['Red'],Creature — Goblin Warrior,"['Goblin', 'Warrior']",Common,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145992&type=card,LRW,2007-10-12
60,"Adeliz, the Cinder Wind",3.0,"['Red', 'Blue']",Legendary Creature — Human Wizard,"['Human', 'Wizard']",Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=443078&type=card,DOM,2018-04-27
61,Admiral Beckett Brass,4.0,"['Black', 'Red', 'Blue']",Legendary Creature — Human Pirate,"['Human', 'Pirate']",Mythic,3,3,,PXLN,2017-09-29
62,Admonition Angel,6.0,['White'],Creature — Angel,['Angel'],Mythic,6,6,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=197160&type=card,WWK,2010-02-05
63,Adorned Pouncer,2.0,['White'],Creature — Cat,['Cat'],Rare,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430691&type=card,HOU,2017-07-14
64,"Adriana, Captain of the Guard",5.0,"['Red', 'White']",Legendary Creature — Human Knight,"['Human', 'Knight']",Rare,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=416830&type=card,CN2,2016-08-26
65,Adun Oakenshield,3.0,"['Black', 'Green', 'Red']",Legendary Creature — Human Knight,"['Human', 'Knight']",Rare,1,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1642&type=card,LEG,1994-06-01
66,Advance Scout,2.0,['White'],Creature — Human Soldier Scout,"['Human', 'Soldier', 'Scout']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4857&type=card,TMP,1997-10-14
67,Advanced Hoverguard,4.0,['Blue'],Creature — Drone,['Drone'],Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=50144&type=card,5DN,2004-06-04
68,Advanced Stitchwing,5.0,['Blue'],Creature — Zombie Horror,"['Zombie', 'Horror']",Uncommon,3,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=414341&type=card,EMN,2016-07-22
69,Advocate of the Beast,3.0,['Green'],Creature — Elf Shaman,"['Elf', 'Shaman']",Common,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=370738&type=card,M14,2013-07-19
70,Aegis Angel,6.0,['White'],Creature — Angel,['Angel'],Rare,5,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220086&type=card,M12,2011-07-15
71,Aegis Automaton,2.0,[],Artifact Creature — Construct,['Construct'],Common,0,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423808&type=card,AER,2017-01-20
72,Aegis of the Gods,2.0,['White'],Enchantment Creature — Human Soldier,"['Human', 'Soldier']",Rare,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=380364&type=card,JOU,2014-05-02
74,Aerathi Berserker,5.0,['Red'],Creature — Human Berserker,"['Human', 'Berserker']",Uncommon,2,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1557&type=card,LEG,1994-06-01
75,Aerial Caravan,6.0,['Blue'],Creature — Human Soldier,"['Human', 'Soldier']",Rare,4,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=19667&type=card,MMQ,1999-10-04
76,Aerial Engineer,4.0,"['Blue', 'White']",Creature — Human Artificer,"['Human', 'Artificer']",Uncommon,2,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=447347&type=card,M19,2018-07-13
77,Aerial Guide,3.0,['Blue'],Creature — Drake,['Drake'],Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430718&type=card,HOU,2017-07-14
78,Aerial Responder,3.0,['White'],Creature — Dwarf Soldier,"['Dwarf', 'Soldier']",Uncommon,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=417575&type=card,KLD,2016-09-30
79,Aerie Bowmasters,4.0,['Green'],Creature — Hound Archer,"['Hound', 'Archer']",Common,3,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=394486&type=card,DTK,2015-03-27
80,Aerie Mystics,5.0,['White'],Creature — Bird Wizard,"['Bird', 'Wizard']",Uncommon,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=153946&type=card,CON,2009-02-06
81,Aerie Ouphes,5.0,['Green'],Creature — Ouphe,['Ouphe'],Common,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=153427&type=card,EVE,2008-07-25
82,Aerie Worshippers,4.0,['Blue'],Creature — Human Cleric,"['Human', 'Cleric']",Uncommon,2,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=378402&type=card,BNG,2014-02-07
83,Aeromunculus,3.0,"['Green', 'Blue']",Creature — Homunculus Mutant,"['Homunculus', 'Mutant']",Common,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457296&type=card,RNA,2019-01-25
84,Aeronaut Admiral,4.0,['White'],Creature — Human Pilot,"['Human', 'Pilot']",Uncommon,3,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423669&type=card,AER,2017-01-20
85,Aeronaut Tinkerer,3.0,['Blue'],Creature — Human Artificer,"['Human', 'Artificer']",Common,2,3,,PURL,2009-02-08
86,Aesthir Glider,3.0,[],Artifact Creature — Bird Construct,"['Bird', 'Construct']",Common,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3040&type=card,ALL,1996-06-10
87,Aether Adept,3.0,['Blue'],Creature — Human Wizard,"['Human', 'Wizard']",Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205020&type=card,M11,2010-07-16
88,Aether Chaser,2.0,['Red'],Creature — Human Artificer,"['Human', 'Artificer']",Common,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423743&type=card,AER,2017-01-20
89,Aether Figment,2.0,['Blue'],Creature — Illusion,['Illusion'],Uncommon,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=170993&type=card,ZEN,2009-10-02
90,Aether Herder,4.0,['Green'],Creature — Elf Artificer Druid,"['Elf', 'Artificer', 'Druid']",Common,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423769&type=card,AER,2017-01-20
91,Aether Inspector,4.0,['White'],Creature — Dwarf Artificer,"['Dwarf', 'Artificer']",Common,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423670&type=card,AER,2017-01-20
92,Aether Membrane,3.0,['Red'],Creature — Wall,['Wall'],Uncommon,0,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=124504&type=card,PLC,2007-02-02
93,Aether Poisoner,2.0,['Black'],Creature — Human Artificer,"['Human', 'Artificer']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423718&type=card,AER,2017-01-20
94,Aether Searcher,7.0,[],Artifact Creature — Construct,['Construct'],Rare,6,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=382207&type=card,CNS,2014-06-06
95,Aether Swooper,2.0,['Blue'],Creature — Vedalken Artificer,"['Vedalken', 'Artificer']",Common,1,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423693&type=card,AER,2017-01-20
96,Aether Theorist,2.0,['Blue'],Creature — Vedalken Rogue,"['Vedalken', 'Rogue']",Common,1,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=417610&type=card,KLD,2016-09-30
97,Aetherborn Marauder,4.0,['Black'],Creature — Aetherborn Rogue,"['Aetherborn', 'Rogue']",Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=417644&type=card,KLD,2016-09-30
98,Aetherflame Wall,2.0,['Red'],Creature — Wall,['Wall'],Common,0,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=113558&type=card,TSP,2006-10-06
99,Aethergeode Miner,2.0,['White'],Creature — Dwarf Scout,"['Dwarf', 'Scout']",Rare,3,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423671&type=card,AER,2017-01-20
100,Aetherling,6.0,['Blue'],Creature — Shapeshifter,['Shapeshifter'],Rare,4,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=368961&type=card,DGM,2013-05-03
101,Aetherplasm,4.0,['Blue'],Creature — Illusion,['Illusion'],Uncommon,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=96924&type=card,GPT,2006-02-03
102,Aethershield Artificer,4.0,['White'],Creature — Dwarf Artificer,"['Dwarf', 'Artificer']",Uncommon,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=447138&type=card,M19,2018-07-13
103,Aethersnipe,6.0,['Blue'],Creature — Elemental,['Elemental'],Common,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145817&type=card,LRW,2007-10-12
104,Aethersquall Ancient,7.0,['Blue'],Creature — Leviathan,['Leviathan'],Rare,6,6,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=417612&type=card,KLD,2016-09-30
105,Aetherstorm Roc,4.0,['White'],Creature — Bird,['Bird'],Rare,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=417576&type=card,KLD,2016-09-30
106,Aetherstream Leopard,3.0,['Green'],Creature — Cat,['Cat'],Common,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423770&type=card,AER,2017-01-20
107,Aethertide Whale,6.0,['Blue'],Creature — Whale,['Whale'],Rare,6,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423694&type=card,AER,2017-01-20
108,Aethertorch Renegade,3.0,['Red'],Creature — Human Rogue,"['Human', 'Rogue']",Uncommon,1,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=417679&type=card,KLD,2016-09-30
109,Aetherwind Basker,7.0,['Green'],Creature — Lizard,['Lizard'],Mythic,7,7,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423771&type=card,AER,2017-01-20
110,Affa Guard Hound,3.0,['White'],Creature — Hound,['Hound'],Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=198305&type=card,ROE,2010-04-23
111,Affa Protector,3.0,['White'],Creature — Human Soldier Ally,"['Human', 'Soldier', 'Ally']",Common,1,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=407524&type=card,OGW,2016-01-22
112,Affectionate Indrik,6.0,['Green'],Creature — Beast,['Beast'],Uncommon,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452871&type=card,GRN,2018-10-05
113,Afflicted Deserter,4.0,['Red'],Creature — Human Werewolf,"['Human', 'Werewolf']",Uncommon,3,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=262675&type=card,DKA,2012-02-03
114,Agadeem Occultist,3.0,['Black'],Creature — Human Shaman Ally,"['Human', 'Shaman', 'Ally']",Rare,0,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=198402&type=card,WWK,2010-02-05
115,Ageless Entity,5.0,['Green'],Creature — Elemental,['Elemental'],Rare,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=46148&type=card,DST,2004-02-06
116,Ageless Sentinels,4.0,['White'],Creature — Wall,['Wall'],Rare,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=43713&type=card,SCG,2003-05-26
117,Agent of Acquisitions,2.0,[],Artifact Creature — Construct,['Construct'],Uncommon,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=382209&type=card,CNS,2014-06-06
118,Agent of Erebos,4.0,['Black'],Enchantment Creature — Zombie,['Zombie'],Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=380366&type=card,JOU,2014-05-02
119,Agent of Horizons,3.0,['Green'],Creature — Human Rogue,"['Human', 'Rogue']",Common,3,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=373712&type=card,THS,2013-09-27
120,Agent of Masks,5.0,"['Black', 'White']",Creature — Human Advisor,"['Human', 'Advisor']",Uncommon,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=96892&type=card,GPT,2006-02-03
121,Agent of Shauku,2.0,['Black'],Creature — Human Mercenary,"['Human', 'Mercenary']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=24601&type=card,PCY,2000-06-05
122,Agent of Stromgald,1.0,['Red'],Creature — Human Knight,"['Human', 'Knight']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3159&type=card,ALL,1996-06-10
123,Agent of Treachery,7.0,['Blue'],Creature — Human Rogue,"['Human', 'Rogue']",Rare,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=466797&type=card,M20,2019-07-12
124,Agent of the Fates,3.0,['Black'],Creature — Human Assassin,"['Human', 'Assassin']",Rare,3,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=373543&type=card,THS,2013-09-27
125,Aggressive Mammoth,6.0,['Green'],Creature — Elephant,['Elephant'],Rare,8,8,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=450249&type=card,M19,2018-07-13
126,"Agrus Kos, Wojek Veteran",5.0,"['Red', 'White']",Legendary Creature — Human Soldier,"['Human', 'Soldier']",Rare,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=89101&type=card,RAV,2005-10-07
127,Ahn-Crop Champion,4.0,"['Green', 'White']",Creature — Human Warrior,"['Human', 'Warrior']",Uncommon,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426896&type=card,AKH,2017-04-28
128,Ahn-Crop Crasher,3.0,['Red'],Creature — Minotaur Warrior,"['Minotaur', 'Warrior']",Uncommon,3,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426819&type=card,AKH,2017-04-28
129,Ahn-Crop Invader,3.0,['Red'],Creature — Zombie Minotaur Warrior,"['Zombie', 'Minotaur', 'Warrior']",Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=461040&type=card,WAR,2019-05-03
130,Ainok Artillerist,3.0,['Green'],Creature — Hound Archer,"['Hound', 'Archer']",Common,4,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=394487&type=card,DTK,2015-03-27
131,Ainok Bond-Kin,2.0,['White'],Creature — Hound Soldier,"['Hound', 'Soldier']",Common,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=386471&type=card,KTK,2014-09-26
132,Ainok Guide,2.0,['Green'],Creature — Hound Scout,"['Hound', 'Scout']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=391786&type=card,FRF,2015-01-23
133,Ainok Survivalist,2.0,['Green'],Creature — Hound Shaman,"['Hound', 'Shaman']",Uncommon,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=394488&type=card,DTK,2015-03-27
134,Ainok Tracker,6.0,['Red'],Creature — Hound Scout,"['Hound', 'Scout']",Common,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=386472&type=card,KTK,2014-09-26
135,Air Elemental,5.0,['Blue'],Creature — Elemental,['Elemental'],Uncommon,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=94&type=card,LEA,1993-08-05
136,Air Servant,5.0,['Blue'],Creature — Elemental,['Elemental'],Uncommon,4,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205070&type=card,M11,2010-07-16
137,Airdrop Aeronauts,5.0,['White'],Creature — Dwarf Scout,"['Dwarf', 'Scout']",Uncommon,4,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423672&type=card,AER,2017-01-20
138,Airdrop Condor,5.0,['Red'],Creature — Bird,['Bird'],Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=39755&type=card,ONS,2002-10-07
139,Aisling Leprechaun,1.0,['Green'],Creature — Faerie,['Faerie'],Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1513&type=card,LEG,1994-06-01
140,Ajani's Chosen,4.0,['White'],Creature — Cat Soldier,"['Cat', 'Soldier']",Rare,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=370750&type=card,M14,2013-07-19
141,Ajani's Comrade,2.0,['Green'],Creature — Elf Soldier,"['Elf', 'Soldier']",Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=425694&type=card,AER,2017-01-20
142,Ajani's Pridemate,2.0,['White'],Creature — Cat Soldier,"['Cat', 'Soldier']",Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205065&type=card,M11,2010-07-16
